25/09/07	09:00	12:20
25/09/07	13:45	17:35
26/09/07	09:00	12:50
26/09/07	13:40	17:50
27/09/07	09:00	12:15
27/09/07	14:00	17:35
28/09/07	08:50	12:40
28/09/07	13:25	18:00
02/10/07	09:00	13:40
02/10/07	13:50	18:30
03/10/07	08:40	13:10
03/10/07	13:15	17:00
04/10/07	08:45	13:30
04/10/07	13:55	19:00
05/10/07	08:40	12:40
05/10/07	13:30	18:35
08/10/07	08:40	13:20
08/10/07	13:35	18:25
09/10/07	08:45	12:00
09/10/07	13:40	18:20
10/10/07	09:20	12:20
10/10/07	13:00	18:40
11/10/07	08:00	12:15
11/10/07	13:45	17:00
12/10/07	08:45	12:30
12/10/07	13:00	17:20
15/10/07	09:30	13:20
15/10/07	13:50	17:30
16/10/07	09:30	12:45
16/10/07	13:15	18:20
17/10/07	08:40	14:00
17/10/07	14:10	19:00
18/10/07	08:40	12:40
18/10/07	13:20	17:40
19/10/07	08:45	12:20
19/10/07	13:50	18:15
22/10/07	07:45	13:50
22/10/07	14:20	17:45
23/10/07	08:20	13:00
23/10/07	13:15	17:45
24/10/07	08:40	13:50
24/10/07	14:00	18:45
25/10/07	08:30	12:30
25/10/07	13:20	17:40
26/10/07	09:10	12:45
26/10/07	13:15	17:30
29/10/07	09:10	12:45
29/10/07	13:10	18:40
30/10/07	09:00	13:00
30/10/07	13:30	18:25
31/10/07	09:40	12:40
31/10/07	13:05	18:00
01/11/07	08:25	13:30
01/11/07	13:45	17:30
02/11/07	08:20	12:15
02/11/07	13:35	16:15
07/11/07	08:30	13:45
07/11/07	13:55	18:55
08/11/07	09:00	13:05
08/11/07	13:20	17:05
09/11/07	10:30	13:50
09/11/07	14:00	17:45
12/11/07	08:30	13:00
12/11/07	13:30	18:30
13/11/07	08:10	12:40
13/11/07	13:10	18:30
14/11/07	09:05	13:40
14/11/07	14:00	18:30
15/11/07	09:10	15:00
15/11/07	15:20	17:30
16/11/07	09:00	12:20
16/11/07	14:50	17:30
19/11/07	09:20	13:00
19/11/07	13:30	17:35
20/11/07	08:20	18:15
21/11/07	08:40	12:30
21/11/07	12:50	18:30
22/11/07	09:00	12:15
22/11/07	13:50	18:50
23/11/07	08:15	13:00
23/11/07	13:20	17:45
26/11/07	08:20	13:30
26/11/07	13:45	18:15
27/11/07	07:30	13:00
27/11/07	13:20	18:25
28/11/07	08:30	13:45
28/11/07	14:05	18:10
29/11/07	08:10	13:30
29/11/07	14:05	18:20
30/11/07	08:10	12:45
30/11/07	13:50	17:20
03/12/07	09:05	12:40
03/12/07	14:00	18:10
